128 128
365.0981000 -100.4572000 -1100.0000000
367.5791630 -100.4572000 -1100.0000000
370.0602260 -100.4572000 -1100.0000000
372.5412890 -100.4572000 -1100.0000000
375.0223520 -100.4572000 -1100.0000000
377.5034150 -100.4572000 -1100.0000000
379.9844780 -100.4572000 -1100.0000000
382.4655409 -100.4572000 -1100.0000000
384.9466039 -100.4572000 -1100.0000000
387.4276669 -100.4572000 -1100.0000000
389.9087299 -100.4572000 -1100.0000000
392.3897929 -100.4572000 -1100.0000000
394.8708559 -100.4572000 -1100.0000000
397.3519189 -100.4572000 -1100.0000000
399.8329819 -100.4572000 -1100.0000000
402.3140449 -100.4572000 -1100.0000000
404.7951079 -100.4572000 -1100.0000000
407.2761709 -100.4572000 -1100.0000000
409.7572339 -100.4572000 -1100.0000000
412.2382969 -100.4572000 -1100.0000000
414.7193598 -100.4572000 -1100.0000000
417.2004228 -100.4572000 -1100.0000000
419.6814858 -100.4572000 -1100.0000000
422.1625488 -100.4572000 -1100.0000000
424.6436118 -100.4572000 -1100.0000000
427.1246748 -100.4572000 -1100.0000000
429.6057378 -100.4572000 -1100.0000000
432.0868008 -100.4572000 -1100.0000000
434.5678638 -100.4572000 -1100.0000000
437.0489268 -100.4572000 -1100.0000000
439.5299898 -100.4572000 -1100.0000000
442.0110528 -100.4572000 -1100.0000000
444.4921157 -100.4572000 -1100.0000000
446.9731787 -100.4572000 -1100.0000000
449.4542417 -100.4572000 -1100.0000000
451.9353047 -100.4572000 -1100.0000000
454.4163677 -100.4572000 -1100.0000000
456.8974307 -100.4572000 -1100.0000000
459.3784937 -100.4572000 -1100.0000000
461.8595567 -100.4572000 -1100.0000000
464.3406197 -100.4572000 -1100.0000000
466.8216827 -100.4572000 -1100.0000000
469.3027457 -100.4572000 -1100.0000000
471.7838087 -100.4572000 -1100.0000000
474.2648717 -100.4572000 -1100.0000000
476.7459346 -100.4572000 -1100.0000000
479.2269976 -100.4572000 -1100.0000000
481.7080606 -100.4572000 -1100.0000000
484.1891236 -100.4572000 -1100.0000000
486.6701866 -100.4572000 -1100.0000000
489.1512496 -100.4572000 -1100.0000000
491.6323126 -100.4572000 -1100.0000000
494.1133756 -100.4572000 -1100.0000000
496.5944386 -100.4572000 -1100.0000000
499.0755016 -100.4572000 -1100.0000000
501.5565646 -100.4572000 -1100.0000000
504.0376276 -100.4572000 -1100.0000000
506.5186906 -100.4572000 -1100.0000000
508.9997535 -100.4572000 -1100.0000000
511.4808165 -100.4572000 -1100.0000000
513.9618795 -100.4572000 -1100.0000000
516.4429425 -100.4572000 -1100.0000000
518.9240055 -100.4572000 -1100.0000000
521.4050685 -100.4572000 -1100.0000000
523.8861315 -100.4572000 -1100.0000000
526.3671945 -100.4572000 -1100.0000000
528.8482575 -100.4572000 -1100.0000000
531.3293205 -100.4572000 -1100.0000000
533.8103835 -100.4572000 -1100.0000000
536.2914465 -100.4572000 -1100.0000000
538.7725094 -100.4572000 -1100.0000000
541.2535724 -100.4572000 -1100.0000000
543.7346354 -100.4572000 -1100.0000000
546.2156984 -100.4572000 -1100.0000000
548.6967614 -100.4572000 -1100.0000000
551.1778244 -100.4572000 -1100.0000000
553.6588874 -100.4572000 -1100.0000000
556.1399504 -100.4572000 -1100.0000000
558.6210134 -100.4572000 -1100.0000000
561.1020764 -100.4572000 -1100.0000000
563.5831394 -100.4572000 -1100.0000000
566.0642024 -100.4572000 -1100.0000000
568.5452654 -100.4572000 -1100.0000000
571.0263283 -100.4572000 -1100.0000000
573.5073913 -100.4572000 -1100.0000000
575.9884543 -100.4572000 -1100.0000000
578.4695173 -100.4572000 -1100.0000000
580.9505803 -100.4572000 -1100.0000000
583.4316433 -100.4572000 -1100.0000000
585.9127063 -100.4572000 -1100.0000000
588.3937693 -100.4572000 -1100.0000000
590.8748323 -100.4572000 -1100.0000000
593.3558953 -100.4572000 -1100.0000000
595.8369583 -100.4572000 -1100.0000000
598.3180213 -100.4572000 -1100.0000000
600.7990843 -100.4572000 -1100.0000000
603.2801472 -100.4572000 -1100.0000000
605.7612102 -100.4572000 -1100.0000000
608.2422732 -100.4572000 -1100.0000000
610.7233362 -100.4572000 -1100.0000000
613.2043992 -100.4572000 -1100.0000000
615.6854622 -100.4572000 -1100.0000000
618.1665252 -100.4572000 -1100.0000000
620.6475882 -100.4572000 -1100.0000000
623.1286512 -100.4572000 -1100.0000000
625.6097142 -100.4572000 -1100.0000000
628.0907772 -100.4572000 -1100.0000000
630.5718402 -100.4572000 -1100.0000000
633.0529031 -100.4572000 -1100.0000000
635.5339661 -100.4572000 -1100.0000000
638.0150291 -100.4572000 -1100.0000000
640.4960921 -100.4572000 -1100.0000000
642.9771551 -100.4572000 -1100.0000000
645.4582181 -100.4572000 -1100.0000000
647.9392811 -100.4572000 -1100.0000000
650.4203441 -100.4572000 -1100.0000000
652.9014071 -100.4572000 -1100.0000000
655.3824701 -100.4572000 -1100.0000000
657.8635331 -100.4572000 -1100.0000000
660.3445961 -100.4572000 -1100.0000000
662.8256591 -100.4572000 -1100.0000000
665.3067220 -100.4572000 -1100.0000000
667.7877850 -100.4572000 -1100.0000000
670.2688480 -100.4572000 -1100.0000000
672.7499110 -100.4572000 -1100.0000000
675.2309740 -100.4572000 -1100.0000000
677.7120370 -100.4572000 -1100.0000000
680.1931000 -100.4572000 -1100.0000000
365.0981000 -98.4128638 -1100.0000000
367.5791630 -98.4128638 -1100.0000000
370.0602260 -98.4128638 -1100.0000000
372.5412890 -98.4128638 -1100.0000000
375.0223520 -98.4128638 -1100.0000000
377.5034150 -98.4128638 -1100.0000000
379.9844780 -98.4128638 -1100.0000000
382.4655409 -98.4128638 -1100.0000000
384.9466039 -98.4128638 -1100.0000000
387.4276669 -98.4128638 -1100.0000000
389.9087299 -98.4128638 -1100.0000000
392.3897929 -98.4128638 -1100.0000000
394.8708559 -98.4128638 -1100.0000000
397.3519189 -98.4128638 -1100.0000000
399.8329819 -98.4128638 -1100.0000000
402.3140449 -98.4128638 -1100.0000000
404.7951079 -98.4128638 -1100.0000000
407.2761709 -98.4128638 -1100.0000000
409.7572339 -98.4128638 -1100.0000000
412.2382969 -98.4128638 -1100.0000000
414.7193598 -98.4128638 -1100.0000000
417.2004228 -98.4128638 -1100.0000000
419.6814858 -98.4128638 -1100.0000000
422.1625488 -98.4128638 -1100.0000000
424.6436118 -98.4128638 -1100.0000000
427.1246748 -98.4128638 -1100.0000000
429.6057378 -98.4128638 -1100.0000000
432.0868008 -98.4128638 -1100.0000000
434.5678638 -98.4128638 -1100.0000000
437.0489268 -98.4128638 -1100.0000000
439.5299898 -98.4128638 -1100.0000000
442.0110528 -98.4128638 -1100.0000000
444.4921157 -98.4128638 -1100.0000000
446.9731787 -98.4128638 -1100.0000000
449.4542417 -98.4128638 -1100.0000000
451.9353047 -98.4128638 -1100.0000000
454.4163677 -98.4128638 -1100.0000000
456.8974307 -98.4128638 -1100.0000000
459.3784937 -98.4128638 -1100.0000000
461.8595567 -98.4128638 -1100.0000000
464.3406197 -98.4128638 -1100.0000000
466.8216827 -98.4128638 -1100.0000000
469.3027457 -98.4128638 -1100.0000000
471.7838087 -98.4128638 -1100.0000000
474.2648717 -98.4128638 -1100.0000000
476.7459346 -98.4128638 -1100.0000000
479.2269976 -98.4128638 -1100.0000000
481.7080606 -98.4128638 -1100.0000000
484.1891236 -98.4128638 -1100.0000000
486.6701866 -98.4128638 -1100.0000000
489.1512496 -98.4128638 -1100.0000000
491.6323126 -98.4128638 -1100.0000000
494.1133756 -98.4128638 -1100.0000000
496.5944386 -98.4128638 -1100.0000000
499.0755016 -98.4128638 -1100.0000000
501.5565646 -98.4128638 -1100.0000000
504.0376276 -98.4128638 -1100.0000000
506.5186906 -98.4128638 -1100.0000000
508.9997535 -98.4128638 -1100.0000000
511.4808165 -98.4128638 -1100.0000000
513.9618795 -98.4128638 -1100.0000000
516.4429425 -98.4128638 -1100.0000000
518.9240055 -98.4128638 -1100.0000000
521.4050685 -98.4128638 -1100.0000000
523.8861315 -98.4128638 -1100.0000000
526.3671945 -98.4128638 -1100.0000000
528.8482575 -98.4128638 -1100.0000000
531.3293205 -98.4128638 -1100.0000000
533.8103835 -98.4128638 -1100.0000000
536.2914465 -98.4128638 -1100.0000000
538.7725094 -98.4128638 -1100.0000000
541.2535724 -98.4128638 -1100.0000000
543.7346354 -98.4128638 -1100.0000000
546.2156984 -98.4128638 -1100.0000000
548.6967614 -98.4128638 -1100.0000000
551.1778244 -98.4128638 -1100.0000000
553.6588874 -98.4128638 -1100.0000000
556.1399504 -98.4128638 -1100.0000000
558.6210134 -98.4128638 -1100.0000000
561.1020764 -98.4128638 -1100.0000000
563.5831394 -98.4128638 -1100.0000000
566.0642024 -98.4128638 -1100.0000000
568.5452654 -98.4128638 -1100.0000000
571.0263283 -98.4128638 -1100.0000000
573.5073913 -98.4128638 -1100.0000000
575.9884543 -98.4128638 -1100.0000000
578.4695173 -98.4128638 -1100.0000000
580.9505803 -98.4128638 -1100.0000000
583.4316433 -98.4128638 -1100.0000000
585.9127063 -98.4128638 -1100.0000000
588.3937693 -98.4128638 -1100.0000000
590.8748323 -98.4128638 -1100.0000000
593.3558953 -98.4128638 -1100.0000000
595.8369583 -98.4128638 -1100.0000000
598.3180213 -98.4128638 -1100.0000000
600.7990843 -98.4128638 -1100.0000000
603.2801472 -98.4128638 -1100.0000000
605.7612102 -98.4128638 -1100.0000000
608.2422732 -98.4128638 -1100.0000000
610.7233362 -98.4128638 -1100.0000000
613.2043992 -98.4128638 -1100.0000000
615.6854622 -98.4128638 -1100.0000000
618.1665252 -98.4128638 -1100.0000000
620.6475882 -98.4128638 -1100.0000000
623.1286512 -98.4128638 -1100.0000000
625.6097142 -98.4128638 -1100.0000000
628.0907772 -98.4128638 -1100.0000000
630.5718402 -98.4128638 -1100.0000000
633.0529031 -98.4128638 -1100.0000000
635.5339661 -98.4128638 -1100.0000000
638.0150291 -98.4128638 -1100.0000000
640.4960921 -98.4128638 -1100.0000000
642.9771551 -98.4128638 -1100.0000000
645.4582181 -98.4128638 -1100.0000000
647.9392811 -98.4128638 -1100.0000000
650.4203441 -98.4128638 -1100.0000000
652.9014071 -98.4128638 -1100.0000000
655.3824701 -98.4128638 -1100.0000000
657.8635331 -98.4128638 -1100.0000000
660.3445961 -98.4128638 -1100.0000000
662.8256591 -98.4128638 -1100.0000000
665.3067220 -98.4128638 -1100.0000000
667.7877850 -98.4128638 -916.7884117
670.2688480 -98.4128638 -918.4062383
672.7499110 -98.4128638 -920.0687139
675.2309740 -98.4128638 -922.0550943
677.7120370 -98.4128638 -924.0008440
680.1931000 -98.4128638 -1100.0000000
365.0981000 -96.3685276 -1100.0000000
367.5791630 -96.3685276 -1100.0000000
370.0602260 -96.3685276 -1100.0000000
372.5412890 -96.3685276 -1100.0000000
375.0223520 -96.3685276 -1100.0000000
377.5034150 -96.3685276 -1100.0000000
379.9844780 -96.3685276 -1100.0000000
382.4655409 -96.3685276 -1100.0000000
384.9466039 -96.3685276 -1100.0000000
387.4276669 -96.3685276 -1100.0000000
389.9087299 -96.3685276 -1100.0000000
392.3897929 -96.3685276 -1100.0000000
394.8708559 -96.3685276 -1100.0000000
397.3519189 -96.3685276 -1100.0000000
399.8329819 -96.3685276 -1100.0000000
402.3140449 -96.3685276 -1100.0000000
404.7951079 -96.3685276 -1100.0000000
407.2761709 -96.3685276 -1100.0000000
409.7572339 -96.3685276 -1100.0000000
