128 128
-39.172130  -4.279255 -833.329591
-38.178596  -4.386621 -833.292697
-37.185061  -4.493987 -833.255804
-36.191526  -4.601353 -833.218911
-35.197991  -4.708720 -833.182017
-34.204457  -4.816086 -833.145124
-33.210922  -4.923452 -833.108230
-32.217387  -5.030819 -833.071337
-31.223852  -5.138185 -833.034443
-30.230317  -5.245551 -832.997550
-29.236783  -5.352917 -832.960657
-28.243248  -5.460284 -832.923763
-27.249713  -5.567650 -832.886870
-26.256178  -5.675016 -832.849976
-25.262644  -5.782383 -832.813083
-24.269109  -5.889749 -832.776190
-23.275574  -5.997115 -832.739296
-22.282039  -6.104481 -832.702403
-21.288504  -6.211848 -832.665509
-20.294970  -6.319214 -832.628616
-19.301435  -6.426580 -832.591723
-18.307900  -6.533947 -832.554829
-17.314365  -6.641313 -832.517936
-16.320831  -6.748679 -832.481042
-15.327296  -6.856045 -832.444149
-14.333761  -6.963412 -832.407256
-13.340226  -7.070778 -832.370362
-12.346691  -7.178144 -832.333469
-11.353157  -7.285511 -832.296575
-10.359622  -7.392877 -832.259682
 -9.366087  -7.500243 -832.222789
 -8.372552  -7.607609 -832.185895
 -7.379018  -7.714976 -832.149002
 -6.385483  -7.822342 -832.112108
 -5.391948  -7.929708 -832.075215
 -4.398413  -8.037075 -832.038322
 -3.404878  -8.144441 -832.001428
 -2.411344  -8.251807 -831.964535
 -1.417809  -8.359173 -831.927641
 -0.424274  -8.466540 -831.890748
  0.569261  -8.573906 -831.853855
  1.562795  -8.681272 -831.816961
  2.556330  -8.788639 -831.780068
  3.549865  -8.896005 -831.743174
  4.543400  -9.003371 -831.706281
  5.536935  -9.110737 -831.669388
  6.530469  -9.218104 -831.632494
  7.413173  -9.538507 -829.230915
  8.437271  -9.587125 -829.846123
  9.511074  -9.540203 -831.521814
 10.504608  -9.647569 -831.484920
 11.498143  -9.754935 -831.448027
 12.491678  -9.862301 -831.411134
 13.485213  -9.969668 -831.374240
 14.478748 -10.077034 -831.337347
 15.472282 -10.184400 -831.300453
 16.465817 -10.291767 -831.263560
 17.459352 -10.399133 -831.226667
 18.452887 -10.506499 -831.189773
 19.446421 -10.613865 -831.152880
 20.439956 -10.721232 -831.115986
 21.433491 -10.828598 -831.079093
 22.427026 -10.935964 -831.042200
 23.420561 -11.043331 -831.005306
 24.414095 -11.150697 -830.968413
